epoch	coverage
1	34.6
2	35.6
3	37.4
4	38.9
5	39.7
6	39.7
7	40.0
8	40.0
9	40.1
10	40.1
11	40.4
12	40.4
13	40.4
14	40.4
15	40.4
16	40.4
17	40.4
18	40.4
19	40.4
20	40.4
21	40.4
22	40.4
23	40.4
24	40.4
25	40.4
26	40.4
27	40.4
28	40.4
29	40.4
30	40.4
31	40.4
32	40.4
33	40.4
34	40.4
35	40.4
36	40.4
37	40.4
38	40.4
39	40.4
40	40.4
41	40.4
42	40.4
43	40.4
44	40.4
45	40.4
46	40.4
47	40.4
48	40.4
49	40.4
50	40.4
51	40.4
52	40.4
53	40.4
54	40.4
55	40.4
56	40.4
57	40.4
58	40.4
59	40.4
60	40.4
61	40.4
62	40.4
63	40.4
64	40.4
65	40.4
66	40.4
